S.no,temperature
1,75.86333333
2,75.84333333
3,75.79
4,75.84166667
5,75.9
6,75.88
7,75.95166667
8,75.85166667
9,75.77666667
10,75.84333333
11,75.905
12,75.98
13,75.97833333
14,75.825
15,75.8
16,75.95666667
17,75.925
18,76.03666667
19,75.98
20,75.89
21,75.89333333
22,75.98333333
23,75.9
24,75.93666667
25,75.88666667
26,75.8
27,75.72666667
28,75.67
29,75.54
30,75.42666667
31,75.43
32,75.16666667
33,74.95333333
34,74.79666667
35,74.7
36,74.7
37,74.71333333
38,74.635
39,74.365
40,74.17166667
41,74.13666667
42,74.2
43,74.285
44,74.21
45,74.09166667
46,73.875
47,73.8
48,73.82
49,73.96833333
50,73.95666667
51,73.90333333
52,73.76166667
53,73.6
54,73.50666667
55,73.685
56,73.8
57,73.75333333
58,73.66166667
59,73.44833333
60,73.38166667
61,73.42333333
62,73.635
63,73.60166667
64,73.62
65,73.47833333
66,73.32333333
67,73.38666667
68,73.65166667
69,73.7
70,73.675
71,73.54166667
72,73.405
73,73.42
74,73.53666667
75,73.55333333
76,73.59166667
77,73.45666667
78,73.3
79,73.31166667
80,73.50666667
81,73.595
82,73.56333333
83,73.46833333
84,73.39833333
85,73.42833333
86,73.60166667
87,73.70166667
88,73.66833333
89,73.61666667
90,73.825
91,74
92,74.18333333
93,74.21
94,74.24666667
95,74.225
96,74.44
97,74.575
98,74.67833333
99,74.59333333
100,74.41833333
101,74.37666667
102,74.49333333
103,74.5
104,74.46666667
105,74.205
106,73.91333333
107,73.8
108,73.82
109,73.9
110,73.88
111,73.65833333
112,73.42833333
113,73.405
114,73.495
115,73.6
116,73.475
117,73.19666667
118,73.09166667
119,73.13833333
120,73.37333333
121,73.3
122,73.255
123,73.13666667
124,73.07166667
125,73.1
126,73.28333333
127,73.335
128,73.3
129,73.22666667
130,73.03333333
131,73.12
132,73.25333333
133,73.29
134,73.23
135,73.15166667
136,72.995
137,72.92
138,73.00333333
139,73.19833333
140,73.29166667
141,73.24333333
142,73.15833333
143,73.02666667
144,73.06666667
145,73.2
146,73.21166667
147,73.14166667
148,73.00666667
149,73.01
150,73.235
151,73.3
152,73.16
153,73.02666667
154,72.9
155,72.935
156,73.15833333
157,73.14666667
158,73.19333333
159,73.06666667
160,72.95
161,73.035
162,73.285
163,73.32333333
164,73.205
165,73.03833333
166,73.13333333
167,73.25166667
168,73.40333333
169,73.47666667
170,73.30166667
171,73.11166667
172,73.105
173,73.24166667
174,73.4
175,73.4
176,73.32
177,73.20166667
178,73.355
179,73.47833333
180,73.615
181,73.66166667
182,73.46
183,73.3
184,73.44
185,73.58833333
186,73.74833333
187,73.8
188,73.605
189,73.40333333
190,73.53833333
191,73.815
192,73.95333333
193,73.85666667
194,73.60833333
195,73.43333333
196,73.74666667
197,74.01166667
198,74.09666667
199,73.92833333
200,73.63833333
201,73.67666667
202,73.99666667
203,74.08333333
204,73.97833333
205,73.73833333
206,73.62333333
207,73.84333333
208,74.04833333
209,74.10166667
210,74.00833333
211,73.735
212,73.80666667
213,73.94833333
214,74.06666667
215,74.01666667
216,73.77166667
217,73.62333333
218,73.78666667
219,73.94333333
220,74
221,73.89666667
222,73.615
223,73.6
224,73.735
225,73.84
226,73.90166667
227,73.75333333
228,73.71833333
229,73.945
230,74.14666667
231,74.3
232,74.26
233,74.185
234,74.27333333
235,74.535
236,74.65166667
237,74.745
238,74.70166667
239,74.53166667
240,74.60166667
241,74.79666667
242,74.82
243,74.90833333
244,74.90666667
245,74.76166667
246,74.76333333
247,74.895
248,74.9
249,74.85166667
250,74.745
251,74.68
252,74.89666667
253,75.04166667
254,75.1
255,75.01
256,74.76333333
257,74.7
258,74.94333333
259,75.065
260,75.1
261,75.005
262,74.73833333
263,74.74333333
264,74.96666667
265,75.155
266,75.24833333
267,75.10833333
268,74.84333333
269,74.92833333
270,75.21166667
271,75.3
272,75.29166667
273,75.05166667
274,74.92666667
275,75.18666667
276,75.3
277,75.285
278,75.17333333
279,75.01
280,74.95
281,75.07333333
282,75.18166667
283,75.1
284,75.1
285,75.04666667
286,74.78333333
287,74.51
288,74.355
289,74.28
290,74.22
291,74.06666667
292,73.79
293,73.47666667
294,73.31666667
295,73.33333333
296,73.38333333
297,73.32333333
298,73.21
299,73.1
300,72.87333333
301,72.605
302,72.635
303,72.82833333
304,72.9
305,72.845
306,72.61666667
307,72.42166667
308,72.45833333
309,72.685
310,72.755
311,72.66166667
312,72.465
313,72.27666667
314,72.51333333
315,72.74666667
316,72.765
317,72.59
318,72.31833333
319,72.12833333
320,72.36
321,72.57333333
322,72.65833333
323,72.55166667
324,72.33
325,72.17333333
326,72.43833333
327,72.64166667
328,72.76166667
329,72.66833333
330,72.42833333
331,72.20833333
332,72.365
333,72.575
334,72.78166667
335,72.865
336,72.67333333
337,72.41833333
338,72.515
339,72.70333333
340,72.93833333
341,72.98166667
342,72.81166667
343,72.62666667
344,72.83166667
345,73.25166667
346,73.48166667
347,73.6
348,73.50166667
349,73.41666667
350,73.735
351,74.00166667
352,74.16
353,74.29
354,74.145
355,73.985
356,74.18833333
357,74.39833333
358,74.49333333
359,74.58833333
360,74.46166667
361,74.31833333
362,74.52333333
363,74.93333333
364,75.16833333
365,75.2
366,75.14833333
367,75.1
368,75.30666667
369,75.61333333
370,75.7
371,75.65333333
372,75.51333333
373,75.52833333
374,75.76
375,75.95166667
376,75.975
377,75.825
378,75.62833333
379,75.64833333
380,75.875
381,75.9
382,75.9
383,75.795
384,75.66333333
385,75.71666667
386,75.88833333
387,75.91166667
388,75.86666667
389,75.685
390,75.6
391,75.73166667
392,75.81333333
393,75.8
394,75.69166667
395,75.53166667
396,75.625
397,75.80333333
398,75.77666667
399,75.79333333
400,75.78666667
401,75.72666667
402,75.87833333
403,75.9
404,75.835
405,75.8
406,75.8
407,75.88
408,76.08333333
409,76.1
410,76.08666667
411,76
412,75.98
413,75.95
414,75.86333333
415,75.655
416,75.44666667
417,74.85
418,74.835
419,75.295
420,75.5
421,75.49666667
422,75.25833333
423,75.15666667
424,75.60333333
425,75.95
426,76.03833333
427,75.88333333
428,75.60833333
429,75.75166667
430,76.12166667
431,76.21666667
432,76.12666667
433,75.87666667
434,75.85833333
435,76.2
436,76.39
437,76.355
438,76.13166667
439,75.995
440,76.235
441,76.43333333
442,76.49833333
443,76.38166667
444,76.22333333
445,76.33666667
446,76.51666667
447,76.56166667
448,76.46
449,76.32666667
450,76.36333333
451,76.57833333
452,76.68666667
453,76.69166667
454,76.53166667
455,76.42166667
456,76.61333333
457,76.60833333
458,76.6
459,76.6
460,76.53333333
461,76.57666667
462,76.64666667
463,76.6
464,76.575
465,76.39333333
466,76.23166667
467,76.14333333
468,75.92833333
469,75.68166667
470,75.42166667
471,75.11166667
472,74.815
473,74.58
474,74.45333333
475,74.17666667
476,73.79833333
477,73.465
478,73.34333333
479,73.275
480,73.125
481,72.86166667
482,72.75333333
483,72.785
484,72.80833333
485,72.745
486,72.47666667
487,72.30166667
488,72.305
489,72.47
490,72.5
491,72.38333333
492,72.16833333
493,72.17833333
494,72.27166667
495,72.345
496,72.29
497,72.12833333
498,71.945
499,71.95333333
500,72.13666667
501,72.25166667
502,72.22333333
503,72.04166667
504,71.9
505,71.91333333
506,72.10833333
507,72.2
508,72.13166667
509,71.89
510,71.81833333
511,71.94666667
512,72.1
513,72.14833333
514,72.02666667
515,71.84333333
516,71.885
517,72.00833333
518,72.17166667
519,72.17166667
520,72.04833333
521,71.94333333
522,72.11
523,72.28166667
524,72.36166667
525,72.27833333
526,72.09833333
527,72.11166667
528,72.27
529,72.43833333
530,72.49333333
531,72.31
532,72.145
533,72.27833333
534,72.45166667
535,72.5
536,72.45333333
537,72.215
538,72.22833333
539,72.345
540,72.455
541,72.445
542,72.21666667
543,72.13666667
544,72.30333333
