"S.no","temperature","outlier"
1,75.86333333,"Yes"
2,75.84333333,"Yes"
3,75.79,"Yes"
4,75.84166667,"Yes"
5,75.9,"Yes"
6,75.88,"Yes"
7,75.95166667,"Yes"
8,75.85166667,"Yes"
9,75.77666667,"Yes"
10,75.84333333,"Yes"
11,75.905,"Yes"
12,75.98,"Yes"
13,75.97833333,"No"
14,75.825,"Yes"
15,75.8,"Yes"
16,75.95666667,"Yes"
17,75.925,"Yes"
18,76.03666667,"Yes"
19,75.98,"Yes"
20,75.89,"Yes"
21,75.89333333,"Yes"
22,75.98333333,"Yes"
23,75.9,"Yes"
24,75.93666667,"Yes"
25,75.88666667,"Yes"
26,75.8,"No"
27,75.72666667,"No"
28,75.67,"Yes"
29,75.54,"Yes"
30,75.42666667,"Yes"
31,75.43,"No"
32,75.16666667,"Yes"
33,74.95333333,"Yes"
34,74.79666667,"Yes"
35,74.7,"No"
36,74.7,"Yes"
37,74.71333333,"Yes"
38,74.635,"Yes"
39,74.365,"No"
40,74.17166667,"No"
41,74.13666667,"Yes"
42,74.2,"Yes"
43,74.285,"Yes"
44,74.21,"Yes"
45,74.09166667,"Yes"
46,73.875,"Yes"
47,73.8,"Yes"
48,73.82,"Yes"
49,73.96833333,"Yes"
50,73.95666667,"Yes"
51,73.90333333,"Yes"
52,73.76166667,"Yes"
53,73.6,"No"
54,73.50666667,"Yes"
55,73.685,"Yes"
56,73.8,"Yes"
57,73.75333333,"Yes"
58,73.66166667,"Yes"
59,73.44833333,"Yes"
60,73.38166667,"Yes"
61,73.42333333,"Yes"
62,73.635,"Yes"
63,73.60166667,"Yes"
64,73.62,"Yes"
65,73.47833333,"Yes"
66,73.32333333,"No"
67,73.38666667,"No"
68,73.65166667,"No"
69,73.7,"No"
70,73.675,"No"
71,73.54166667,"No"
72,73.405,"No"
73,73.42,"No"
74,73.53666667,"No"
75,73.55333333,"No"
76,73.59166667,"No"
77,73.45666667,"No"
78,73.3,"No"
79,73.31166667,"No"
80,73.50666667,"No"
81,73.595,"No"
82,73.56333333,"No"
83,73.46833333,"No"
84,73.39833333,"No"
85,73.42833333,"No"
86,73.60166667,"No"
87,73.70166667,"No"
88,73.66833333,"No"
89,73.61666667,"No"
90,73.825,"No"
91,74,"No"
92,74.18333333,"No"
93,74.21,"No"
94,74.24666667,"No"
95,74.225,"No"
96,74.44,"No"
97,74.575,"No"
98,74.67833333,"No"
99,74.59333333,"No"
100,74.41833333,"No"
101,74.37666667,"No"
102,74.49333333,"No"
103,74.5,"No"
104,74.46666667,"No"
105,74.205,"No"
106,73.91333333,"No"
107,73.8,"No"
108,73.82,"No"
109,73.9,"No"
110,73.88,"No"
111,73.65833333,"No"
112,73.42833333,"No"
113,73.405,"No"
114,73.495,"No"
115,73.6,"No"
116,73.475,"No"
117,73.19666667,"No"
118,73.09166667,"No"
119,73.13833333,"No"
120,73.37333333,"No"
121,73.3,"No"
122,73.255,"No"
123,73.13666667,"No"
124,73.07166667,"No"
125,73.1,"No"
126,73.28333333,"No"
127,73.335,"No"
128,73.3,"No"
129,73.22666667,"No"
130,73.03333333,"No"
131,73.12,"No"
132,73.25333333,"No"
133,73.29,"No"
134,73.23,"No"
135,73.15166667,"No"
136,72.995,"No"
137,72.92,"No"
138,73.00333333,"No"
139,73.19833333,"No"
140,73.29166667,"No"
141,73.24333333,"No"
142,73.15833333,"No"
143,73.02666667,"No"
144,73.06666667,"No"
145,73.2,"No"
146,73.21166667,"No"
147,73.14166667,"No"
148,73.00666667,"No"
149,73.01,"No"
150,73.235,"No"
151,73.3,"No"
152,73.16,"No"
153,73.02666667,"No"
154,72.9,"No"
155,72.935,"No"
156,73.15833333,"No"
157,73.14666667,"No"
158,73.19333333,"No"
159,73.06666667,"No"
160,72.95,"No"
161,73.035,"No"
162,73.285,"No"
163,73.32333333,"No"
164,73.205,"No"
165,73.03833333,"No"
166,73.13333333,"No"
167,73.25166667,"No"
168,73.40333333,"No"
169,73.47666667,"No"
170,73.30166667,"No"
171,73.11166667,"No"
172,73.105,"No"
173,73.24166667,"No"
174,73.4,"No"
175,73.4,"No"
176,73.32,"No"
177,73.20166667,"No"
178,73.355,"No"
179,73.47833333,"No"
180,73.615,"No"
181,73.66166667,"No"
182,73.46,"No"
183,73.3,"No"
184,73.44,"No"
185,73.58833333,"No"
186,73.74833333,"No"
187,73.8,"No"
188,73.605,"No"
189,73.40333333,"No"
190,73.53833333,"No"
191,73.815,"No"
192,73.95333333,"No"
193,73.85666667,"No"
194,73.60833333,"No"
195,73.43333333,"No"
196,73.74666667,"No"
197,74.01166667,"No"
198,74.09666667,"No"
199,73.92833333,"No"
200,73.63833333,"No"
201,73.67666667,"No"
202,73.99666667,"No"
203,74.08333333,"No"
204,73.97833333,"No"
205,73.73833333,"No"
206,73.62333333,"No"
207,73.84333333,"No"
208,74.04833333,"No"
209,74.10166667,"No"
210,74.00833333,"No"
211,73.735,"No"
212,73.80666667,"No"
213,73.94833333,"No"
214,74.06666667,"No"
215,74.01666667,"No"
216,73.77166667,"No"
217,73.62333333,"No"
218,73.78666667,"No"
219,73.94333333,"No"
220,74,"No"
221,73.89666667,"No"
222,73.615,"No"
223,73.6,"No"
224,73.735,"No"
225,73.84,"No"
226,73.90166667,"No"
227,73.75333333,"No"
228,73.71833333,"No"
229,73.945,"No"
230,74.14666667,"No"
231,74.3,"No"
232,74.26,"No"
233,74.185,"No"
234,74.27333333,"No"
235,74.535,"No"
236,74.65166667,"No"
237,74.745,"No"
238,74.70166667,"No"
239,74.53166667,"No"
240,74.60166667,"No"
241,74.79666667,"No"
242,74.82,"No"
243,74.90833333,"No"
244,74.90666667,"No"
245,74.76166667,"No"
246,74.76333333,"No"
247,74.895,"No"
248,74.9,"No"
249,74.85166667,"No"
250,74.745,"No"
251,74.68,"No"
252,74.89666667,"No"
253,75.04166667,"No"
254,75.1,"No"
255,75.01,"No"
256,74.76333333,"No"
257,74.7,"No"
258,74.94333333,"No"
259,75.065,"No"
260,75.1,"No"
261,75.005,"No"
262,74.73833333,"No"
263,74.74333333,"No"
264,74.96666667,"No"
265,75.155,"No"
266,75.24833333,"No"
267,75.10833333,"No"
268,74.84333333,"No"
269,74.92833333,"No"
270,75.21166667,"No"
271,75.3,"No"
272,75.29166667,"No"
273,75.05166667,"No"
274,74.92666667,"No"
275,75.18666667,"No"
276,75.3,"No"
277,75.285,"No"
278,75.17333333,"No"
279,75.01,"No"
280,74.95,"No"
281,75.07333333,"No"
282,75.18166667,"No"
283,75.1,"No"
284,75.1,"No"
285,75.04666667,"No"
286,74.78333333,"No"
287,74.51,"No"
288,74.355,"No"
289,74.28,"No"
290,74.22,"No"
291,74.06666667,"No"
292,73.79,"No"
293,73.47666667,"No"
294,73.31666667,"No"
295,73.33333333,"No"
296,73.38333333,"No"
297,73.32333333,"No"
298,73.21,"No"
299,73.1,"No"
300,72.87333333,"No"
301,72.605,"No"
302,72.635,"No"
303,72.82833333,"No"
304,72.9,"No"
305,72.845,"No"
306,72.61666667,"No"
307,72.42166667,"No"
308,72.45833333,"No"
309,72.685,"No"
310,72.755,"No"
311,72.66166667,"No"
312,72.465,"No"
313,72.27666667,"No"
314,72.51333333,"No"
315,72.74666667,"No"
316,72.765,"No"
317,72.59,"No"
318,72.31833333,"No"
319,72.12833333,"No"
320,72.36,"No"
321,72.57333333,"No"
322,72.65833333,"No"
323,72.55166667,"No"
324,72.33,"No"
325,72.17333333,"No"
326,72.43833333,"No"
327,72.64166667,"No"
328,72.76166667,"No"
329,72.66833333,"No"
330,72.42833333,"No"
331,72.20833333,"No"
332,72.365,"No"
333,72.575,"No"
334,72.78166667,"No"
335,72.865,"No"
336,72.67333333,"No"
337,72.41833333,"No"
338,72.515,"No"
339,72.70333333,"No"
340,72.93833333,"No"
341,72.98166667,"No"
342,72.81166667,"No"
343,72.62666667,"No"
344,72.83166667,"No"
345,73.25166667,"No"
346,73.48166667,"No"
347,73.6,"No"
348,73.50166667,"No"
349,73.41666667,"No"
350,73.735,"No"
351,74.00166667,"No"
352,74.16,"No"
353,74.29,"No"
354,74.145,"No"
355,73.985,"No"
356,74.18833333,"No"
357,74.39833333,"No"
358,74.49333333,"No"
359,74.58833333,"No"
360,74.46166667,"No"
361,74.31833333,"No"
362,74.52333333,"No"
363,74.93333333,"No"
364,75.16833333,"No"
365,75.2,"No"
366,75.14833333,"No"
367,75.1,"No"
368,75.30666667,"No"
369,75.61333333,"No"
370,75.7,"No"
371,75.65333333,"No"
372,75.51333333,"No"
373,75.52833333,"No"
374,75.76,"No"
375,75.95166667,"No"
376,75.975,"No"
377,75.825,"No"
378,75.62833333,"No"
379,75.64833333,"No"
380,75.875,"No"
381,75.9,"No"
382,75.9,"No"
383,75.795,"No"
384,75.66333333,"No"
385,75.71666667,"No"
386,75.88833333,"No"
387,75.91166667,"No"
388,75.86666667,"No"
389,75.685,"No"
390,75.6,"No"
391,75.73166667,"No"
392,75.81333333,"No"
393,75.8,"No"
394,75.69166667,"No"
395,75.53166667,"No"
396,75.625,"No"
397,75.80333333,"No"
398,75.77666667,"No"
399,75.79333333,"No"
400,75.78666667,"No"
401,75.72666667,"No"
402,75.87833333,"No"
403,75.9,"No"
404,75.835,"No"
405,75.8,"No"
406,75.8,"No"
407,75.88,"No"
408,76.08333333,"No"
409,76.1,"No"
410,76.08666667,"No"
411,76,"No"
412,75.98,"No"
413,75.95,"No"
414,75.86333333,"No"
415,75.655,"No"
416,75.44666667,"No"
417,74.85,"No"
418,74.835,"No"
419,75.295,"No"
420,75.5,"No"
421,75.49666667,"No"
422,75.25833333,"No"
423,75.15666667,"No"
424,75.60333333,"No"
425,75.95,"No"
426,76.03833333,"No"
427,75.88333333,"No"
428,75.60833333,"No"
429,75.75166667,"No"
430,76.12166667,"No"
431,76.21666667,"No"
432,76.12666667,"No"
433,75.87666667,"No"
434,75.85833333,"No"
435,76.2,"No"
436,76.39,"No"
437,76.355,"No"
438,76.13166667,"No"
439,75.995,"No"
440,76.235,"No"
441,76.43333333,"No"
442,76.49833333,"No"
443,76.38166667,"No"
444,76.22333333,"No"
445,76.33666667,"No"
446,76.51666667,"No"
447,76.56166667,"No"
448,76.46,"No"
449,76.32666667,"No"
450,76.36333333,"No"
451,76.57833333,"No"
452,76.68666667,"No"
453,76.69166667,"No"
454,76.53166667,"No"
455,76.42166667,"No"
456,76.61333333,"No"
457,76.60833333,"No"
458,76.6,"No"
459,76.6,"No"
460,76.53333333,"No"
461,76.57666667,"No"
462,76.64666667,"No"
463,76.6,"No"
464,76.575,"No"
465,76.39333333,"No"
466,76.23166667,"No"
467,76.14333333,"No"
468,75.92833333,"No"
469,75.68166667,"No"
470,75.42166667,"No"
471,75.11166667,"No"
472,74.815,"No"
473,74.58,"No"
474,74.45333333,"No"
475,74.17666667,"No"
476,73.79833333,"No"
477,73.465,"No"
478,73.34333333,"No"
479,73.275,"No"
480,73.125,"No"
481,72.86166667,"No"
482,72.75333333,"No"
483,72.785,"No"
484,72.80833333,"No"
485,72.745,"No"
486,72.47666667,"No"
487,72.30166667,"No"
488,72.305,"No"
489,72.47,"No"
490,72.5,"No"
491,72.38333333,"No"
492,72.16833333,"No"
493,72.17833333,"No"
494,72.27166667,"No"
495,72.345,"No"
496,72.29,"No"
497,72.12833333,"No"
498,71.945,"No"
499,71.95333333,"No"
500,72.13666667,"No"
501,72.25166667,"No"
502,72.22333333,"No"
503,72.04166667,"No"
504,71.9,"No"
505,71.91333333,"No"
506,72.10833333,"No"
507,72.2,"No"
508,72.13166667,"No"
509,71.89,"No"
510,71.81833333,"No"
511,71.94666667,"No"
512,72.1,"No"
513,72.14833333,"No"
514,72.02666667,"No"
515,71.84333333,"No"
516,71.885,"No"
517,72.00833333,"No"
518,72.17166667,"No"
519,72.17166667,"No"
520,72.04833333,"No"
521,71.94333333,"No"
522,72.11,"No"
523,72.28166667,"No"
524,72.36166667,"No"
525,72.27833333,"No"
526,72.09833333,"No"
527,72.11166667,"No"
528,72.27,"No"
529,72.43833333,"No"
530,72.49333333,"No"
531,72.31,"No"
532,72.145,"No"
533,72.27833333,"No"
534,72.45166667,"No"
535,72.5,"No"
536,72.45333333,"No"
537,72.215,"No"
538,72.22833333,"No"
539,72.345,"No"
540,72.455,"No"
541,72.445,"No"
542,72.21666667,"No"
543,72.13666667,"No"
544,72.30333333,"No"
545,72.43833333,"No"
546,72.49333333,"No"
547,72.32833333,"No"
548,72.175,"No"
549,72.27166667,"No"
550,72.42333333,"No"
551,72.57333333,"No"
552,72.56166667,"No"
553,72.36666667,"No"
554,72.35833333,"No"
555,72.47,"No"
556,72.60333333,"No"
557,72.63666667,"No"
558,72.48833333,"No"
559,72.40166667,"No"
560,72.5,"No"
561,72.65666667,"No"
562,72.7,"No"
563,72.59666667,"No"
564,72.43833333,"No"
565,72.50666667,"No"
566,72.62666667,"No"
567,72.73666667,"No"
568,72.74666667,"No"
569,72.57666667,"No"
570,72.5,"No"
571,72.535,"No"
572,72.64666667,"No"
573,72.705,"No"
574,72.70333333,"No"
575,72.555,"No"
576,72.545,"No"
577,72.6,"No"
578,72.76666667,"No"
579,72.795,"No"
580,72.68833333,"No"
581,72.51166667,"No"
582,72.4,"No"
583,72.42666667,"No"
584,72.59166667,"No"
585,72.6,"No"
586,72.515,"No"
587,72.345,"No"
588,72.33166667,"No"
589,72.425,"No"
590,72.63833333,"No"
591,72.7,"No"
592,72.59833333,"No"
593,72.5,"No"
594,72.555,"No"
595,72.66666667,"No"
596,72.8,"No"
597,72.79833333,"No"
598,72.69333333,"No"
599,72.51333333,"No"
600,72.59333333,"No"
601,72.72833333,"No"
602,72.9,"No"
603,72.84666667,"No"
604,72.725,"No"
605,72.65166667,"No"
606,72.79166667,"No"
607,72.89333333,"No"
608,72.96333333,"No"
609,72.81833333,"No"
610,72.61333333,"No"
611,72.6,"No"
612,72.71,"No"
613,72.77666667,"No"
614,72.69166667,"No"
615,72.49,"No"
616,72.31833333,"No"
617,72.345,"No"
618,72.5,"No"
619,72.49166667,"No"
620,72.37833333,"No"
621,72.255,"No"
622,72.20166667,"No"
623,72.37166667,"No"
624,72.32,"No"
625,72.285,"No"
626,72.145,"No"
627,72.10666667,"No"
628,72.225,"No"
629,72.34166667,"No"
630,72.36,"No"
631,72.16333333,"No"
632,72,"No"
633,72.00166667,"No"
634,72.16166667,"No"
635,72.2,"No"
636,72.14833333,"No"
637,71.94333333,"No"
638,71.82833333,"No"
639,71.86833333,"No"
640,72.04166667,"No"
641,72.04166667,"No"
642,71.94333333,"No"
643,71.79333333,"No"
644,71.74333333,"No"
645,71.875,"No"
646,71.95333333,"No"
647,71.85,"No"
648,71.63666667,"No"
649,71.51,"No"
650,71.6,"No"
651,71.71833333,"No"
652,71.71833333,"No"
653,71.55333333,"No"
654,71.33333333,"No"
655,71.315,"No"
656,71.51166667,"No"
657,71.6,"No"
658,71.51333333,"No"
659,71.4,"No"
660,71.29833333,"No"
661,71.45333333,"No"
662,71.52,"No"
663,71.50666667,"No"
664,71.435,"No"
665,71.40166667,"No"
666,71.59833333,"No"
667,71.76333333,"No"
668,71.76166667,"No"
669,71.58666667,"No"
670,71.43333333,"No"
671,71.51666667,"No"
672,71.68333333,"No"
